time_s,envelope
0.0,-0.1298546
0.005,-0.1298546
0.01,-0.1298536
0.015,-0.12984017
0.02,-0.12317061
0.025,-0.11928386
0.03,-0.11980888
0.035,-0.11654859
0.04,-0.12335279
0.045,-0.12326815
0.05,-0.121432185
0.055,-0.11828242
0.06,-0.122052565
0.065,-0.119693115
0.07,-0.12123982
0.075,-0.12416268
0.08,-0.12031058
0.085,-0.11577957
0.09,-0.121545464
0.095,-0.12335014
0.1,-0.119230695
0.105,-0.121012405
0.11,-0.12160447
0.115,-0.117533416
0.12,-0.117843516
0.125,-0.12338468
0.13,-0.11989196
0.135,-0.12215098
0.14,-0.119801484
0.145,-0.11987022
0.15,-0.12321898
0.155,-0.12052061
0.16,-0.12332276
0.165,-0.12247812
0.17,-0.12165436
0.175,-0.12300331
0.18,-0.12495718
0.185,-0.12095982
0.19,-0.117984615
0.195,-0.12218736
0.2,-0.12345586
0.205,-0.1213271
0.21,-0.12113937
0.215,-0.111440845
0.22,-0.11694928
0.225,-0.11930088
0.23,-0.121665366
0.235,-0.11349851
0.24,-0.11747553
0.245,-0.11386183
0.25,-0.12029661
0.255,-0.118724085
0.26,-0.11756243
0.265,-0.115620404
0.27,-0.115671314
0.275,-0.121977836
0.28,-0.123919465
0.285,-0.1158445
0.29,-0.11789413
0.295,-0.11317729
0.3,-0.117918976
0.305,-0.12084777
0.31,-0.11846603
0.315,-0.11661675
0.32,-0.111355744
0.325,-0.11116707
0.33,-0.115472354
0.335,-0.102328025
0.34,-0.10746487
0.345,-0.110367805
0.35,-0.10899036
0.355,-0.107954375
0.36,-0.11329247
0.365,-0.11410787
0.37,-0.10818356
0.375,-0.11549607
0.38,-0.11793561
0.385,-0.11098837
0.39,-0.11718911
0.395,-0.11643374
0.4,-0.119763225
0.405,-0.10242772
0.41,-0.115709715
0.415,-0.11386867
0.42,-0.11878121
0.425,-0.110230185
0.43,-0.11059665
0.435,-0.11503852
0.44,-0.11654951
0.445,-0.11532684
0.45,-0.11626
0.455,-0.12110301
0.46,-0.12068702
0.465,-0.11400039
0.47,-0.12350911
0.475,-0.11936099
0.48,-0.12160978
0.485,-0.12223189
0.49,-0.11856119
0.495,-0.11951248
0.5,-0.12004174
0.505,-0.12048767
0.51,-0.12186134
0.515,-0.12093727
0.52,-0.11659264
0.525,-0.118371814
0.53,-0.109824836
0.535,-0.11322181
0.54,-0.11398314
0.545,-0.11061578
0.55,-0.11468069
0.555,-0.11689066
0.56,-0.11077914
0.565,-0.10999392
0.57,-0.11294676
0.575,-0.112022914
0.58,-0.11306751
0.585,-0.11306243
0.59,-0.10393448
0.595,-0.11055242
0.6,-0.111855365
0.605,-0.1200487
0.61,-0.111315355
0.615,-0.106172696
0.62,-0.1066391
0.625,-0.11524235
0.63,-0.114864334
0.635,-0.115131825
0.64,-0.11793936
0.645,-0.10615961
0.65,-0.11480744
0.655,-0.11680065
0.66,-0.11834407
0.665,-0.118044525
0.67,-0.111729346
0.675,-0.110815115
0.68,-0.11696592
0.685,-0.11815431
0.69,-0.12226729
0.695,-0.11642863
0.7,-0.10511033
0.705,-0.12014453
0.71,-0.12140548
0.715,-0.1112074
0.72,-0.1159106
0.725,-0.114228114
0.73,-0.11343755
0.735,-0.1145097
0.74,-0.11864232
0.745,-0.111585855
0.75,-0.10918516
0.755,-0.11065261
0.76,-0.11704553
0.765,-0.102643885
0.77,-0.11241372
0.775,-0.101303704
0.78,-0.10902001
0.785,-0.08961875
0.79,-0.09677122
0.795,-0.09888127
0.8,-0.10543872
0.805,-0.10058507
0.81,-0.08805083
0.815,-0.10341371
0.82,-0.1082368
0.825,-0.11021137
0.83,-0.09663755
0.835,-0.109250054
0.84,-0.10808395
0.845,-0.117237404
0.85,-0.09977683
0.855,-0.103255674
0.86,-0.10900921
0.865,-0.107042775
0.87,-0.10971844
0.875,-0.10882994
0.88,-0.10843706
0.885,-0.10734624
0.89,-0.10520911
0.895,-0.11416032
0.9,-0.11091052
0.905,-0.113467336
0.91,-0.109649576
0.915,-0.104094125
0.92,-0.10246195
0.925,-0.10989944
0.93,-0.11198079
0.935,-0.10305614
0.94,-0.0999565
0.945,-0.09707652
0.95,-0.10355233
0.955,-0.106541775
0.96,-0.10961111
0.965,-0.09915351
0.97,-0.10382469
0.975,-0.107583426
0.98,-0.107763655
0.985,-0.10950593
0.99,-0.1098451
0.995,-0.113888755
1.0,-0.106726825
1.005,-0.094722
1.01,-0.101916336
1.015,-0.10683255
1.02,-0.11360592
1.025,-0.10581951
1.03,-0.10630064
1.035,-0.10302486
1.04,-0.10238403
1.045,-0.10820712
1.05,-0.102584556
1.055,-0.09984767
1.06,-0.09137317
1.065,-0.11285473
1.07,-0.1084726
1.075,-0.10291633
1.08,-0.09210265
1.085,-0.10520657
1.09,-0.09874653
1.095,-0.09335535
1.1,-0.09213534
1.105,-0.09373209
1.11,-0.11836238
1.115,-0.08432433
1.12,-0.10905102
1.125,-0.108443834
1.13,-0.10034097
1.135,-0.08433514
1.14,-0.10461152
1.145,-0.06962833
1.15,-0.09053762
1.155,-0.08847782
1.16,-0.088044316
1.165,-0.10239241
1.17,-0.0808515
1.175,-0.09100744
1.18,-0.07575786
1.185,-0.09830096
1.19,-0.10379347
1.195,-0.100048795
1.2,-0.08700538
1.205,-0.10163869
1.21,-0.095845684
1.215,-0.102554396
1.22,-0.0836527
1.225,-0.09106767
1.23,-0.09888745
1.235,-0.09989892
1.24,-0.098649845
1.245,-0.09307234
1.25,-0.093339786
1.255,-0.10366746
1.26,-0.08615861
1.265,-0.095104605
1.27,-0.09956743
1.275,-0.09393198
1.28,-0.0767456
1.285,-0.078008026
1.29,-0.08144307
1.295,-0.093480974
1.3,-0.07379286
1.305,-0.069312856
1.31,-0.06831668
1.315,-0.1030182
1.32,-0.10081663
1.325,-0.08989552
1.33,-0.066055976
1.335,-0.08821714
1.34,-0.084777445
1.345,-0.07661656
1.35,-0.09622742
1.355,-0.09750725
1.36,-0.099836245
1.365,-0.09732837
1.37,-0.09781262
1.375,-0.07370718
1.38,-0.059815347
1.385,-0.06417547
1.39,-0.088142484
1.395,-0.08054075
1.4,-0.09239234
1.405,-0.068731226
1.41,-0.06113685
1.415,-0.07715455
1.42,-0.09194675
1.425,-0.05823105
1.43,-0.09206608
1.435,-0.10354406
1.44,-0.0934285
1.445,-0.0838794
1.45,-0.09178828
1.455,-0.081411004
1.46,-0.08026996
1.465,-0.09107556
1.47,-0.077700004
1.475,-0.10505317
1.48,-0.06630247
1.485,-0.09308708
1.49,-0.10741919
1.495,-0.087668404
1.5,-0.08161379
1.505,-0.09388083
1.51,-0.0678207
1.515,-0.07514314
1.52,-0.07402813
1.525,-0.06273062
1.53,-0.081338674
1.535,-0.06759647
1.54,-0.06738225
1.545,-0.09536146
1.55,-0.0692008
1.555,-0.084163025
1.56,-0.054148562
1.565,-0.07125881
1.57,-0.08780143
1.575,-0.072585
1.58,-0.07621375
1.585,-0.096614145
1.59,-0.06948351
1.595,-0.0827875
1.6,-0.061075464
1.605,-0.07612473
1.61,-0.08267871
1.615,-0.08519371
1.62,-0.072768524
1.625,-0.08881901
1.63,-0.1062852
1.635,-0.08736735
1.64,-0.061997436
1.645,-0.07418927
1.65,-0.08781725
1.655,-0.089961566
1.66,-0.06777959
1.665,-0.04375498
1.67,-0.091129184
1.675,-0.09597443
1.68,-0.08097848
1.685,-0.054767214
1.69,-0.07106489
1.695,-0.08995435
1.7,-0.06788722
1.705,-0.059440985
1.71,-0.079081595
1.715,-0.068435535
1.72,-0.06569416
1.725,-0.08255957
1.73,-0.06390437
1.735,-0.08101885
1.74,-0.089422554
1.745,-0.07006478
1.75,-0.078225344
1.755,-0.05157353
1.76,-0.078839175
1.765,-0.0557132
1.77,-0.06882633
1.775,-0.07234056
1.78,-0.06947106
1.785,-0.048531495
1.79,-0.0709336
1.795,-0.062030196
1.8,-0.07417754
1.805,-0.06492115
1.81,-0.04702191
1.815,-0.052157998
1.82,-0.105667815
1.825,-0.05349926
1.83,-0.04382088
1.835,-0.07517508
1.84,-0.08694461
1.845,-0.056564614
1.85,-0.05062083
1.855,-0.09483797
1.86,0.006104246
1.865,-0.09614376
1.87,-0.0811756
1.875,-0.08528364
1.88,-0.07239038
1.885,-0.03528864
1.89,-0.045130342
1.895,-0.06140034
1.9,-0.098018706
1.905,-0.02034697
1.91,-0.05208391
1.915,0.010359257
1.92,-0.06197194
1.925,-0.07329984
1.93,-0.0853794
1.935,-0.048435606
1.94,0.00019040704
1.945,-0.057839245
1.95,-0.06383269
1.955,-0.07815877
1.96,-0.07769886
1.965,-0.0361801
1.97,-0.0313389
1.975,-0.051307864
1.98,-0.0403746
1.985,-0.042609267
1.99,-0.043332547
1.995,-0.011560321
2.0,-0.030841194
2.005,-0.024281032
2.01,-0.058424212
2.015,-0.034079283
2.02,-0.022324897
2.025,-0.023314148
2.03,-0.018926635
2.035,-0.06797574
2.04,-0.02645833
2.045,-0.003887415
2.05,-0.011650696
2.055,-0.0043319315
2.06,-0.0147071555
2.065,-0.063559555
2.07,-0.048983246
2.075,-0.00826437
2.08,-0.061075874
2.085,-0.03942322
2.09,-0.046729222
2.095,-0.03912378
2.1,-0.05131261
2.105,-0.0677669
2.11,-0.0441615
2.115,-0.03289634
2.12,-0.06988697
2.125,-0.079947695
2.13,-0.036189355
2.135,-0.011645697
2.14,0.017510623
2.145,-0.063252695
2.15,-0.035068333
2.155,-0.026880182
2.16,0.009535313
2.165,-0.025244005
2.17,-0.02367761
2.175,-0.061095156
2.18,-0.05509562
2.185,-0.049131833
2.19,-0.017733358
2.195,-0.013649128
2.2,-0.06733516
2.205,-0.04718502
2.21,-0.026336767
2.215,-0.03398446
2.22,-0.023370452
2.225,0.0047555417
2.23,-0.04794047
2.235,-0.033601433
2.24,-0.018723726
2.245,-0.019201182
2.25,-0.035525255
2.255,-0.049069345
2.26,-0.0633405
2.265,-0.021715917
2.27,-0.008620642
2.275,-0.016292699
2.28,-0.012443326
2.285,-0.015165746
2.29,-0.008146532
2.295,0.015304476
2.3,-0.040234216
2.305,-0.08970294
2.31,-0.025568567
2.315,-0.060543455
2.32,-0.007710509
2.325,-0.022350669
2.33,-0.017997123
2.335,-0.05151009
2.34,-0.008616798
2.345,-0.011779368
2.35,0.010767847
2.355,0.029568836
2.36,-0.031716637
2.365,-0.012324803
2.37,-0.022618555
2.375,0.02875866
2.38,0.023450047
2.385,-0.027304068
2.39,-0.027750492
2.395,-0.023128115
2.4,0.09634739
2.405,-0.015338652
2.41,0.040095806
2.415,-0.02665902
2.42,0.06480174
2.425,0.029869094
2.43,0.02070263
2.435,0.03804718
2.44,0.01922822
2.445,-0.030548483
2.45,0.012704015
2.455,0.064320266
2.46,-0.0095902905
2.465,-0.001042366
2.47,-0.050264157
2.475,0.05451283
2.48,0.04829386
2.485,0.008704707
2.49,0.087423176
2.495,0.025218636
2.5,0.04012984
2.505,-0.043040007
2.51,0.05576974
